M113,D,Večerka,,
M443,1444,D,Večerka,,
M388,3055,C,Večerka,,
M431,23; 27,D,Večerka,,
M426,144,C,Večerka,,
M153,270km; 3h/3h 45 min (auto/kamion),D,Večerka,,
M440,7,D,Večerka,,
M210,"P - 56g, Z - 40g",C,Večerka,,
M411,37,A,Večerka,,
M579,x=3 y=-2,A,Večerka,,
M158,∓√5/2,B,Večerka,,
M187,225,B,Večerka,, 
M60,3,A,Večerka,,
M398,19683,A,Večerka,,
M82,1,A,Večerka,,
M401,5/7,B,Večerka,,
M698,160m,B,Večerka,,
M481,266,B,Večerka,,
M479,"33,125",B,Večerka,,
F892,"78,48",Pro jistotu bych dodal: Zanedbejte odpor vzduchu,B,Verner,,
F1049,"6,12s, 111,55m, 10,56m/ss, 12,25m/ss",Opět odvoditelné zrychlení...+Zaokrouhlit na dvě desetinná,C,Verner,,
M1090,26cm,,D,Verner,,
M665,198,,C,Verner,,
M1092,468/5g,,B,Verner,,
M1365,6,,B,Verner,,
M1419,"z=120, k=30, b=60, s=6",,D,Verner,,
M1360,450,,A,Matýsek,,
M680,a=5 b=2,,A,My dVa,,
M48,-5,,A,My dVa,,
M405,-243006,,A,My dVa,,
M92,3/5 a -1,,B,My dVa,,
M197,a=5 b=2,,A,My dVa,,
M675,a=2 b=5,,A,My dVa,,
M399,,smazaná,smazaná ,My dVa,,
F780,400,,A,My dVa,,
M564,1,,A,MV,,
M573,1,,A,MV,,
M606,x=-2,pěkný ,A,VM,,
M17,25.6,,A,My dVa,,
M189,a=2 b=5,,A,MV,,
M191,x=5 y=4,,A,VM,,
M1223,,kilometry dlouhé ,smazaná ,Večerka,,
M502,2na6,,A,Verner,,
M618,11.,,A,Verner,,
M677,a=1 b=1,,A,Verner,,
M199,a=5 b=-2,,A,Verner,,
M198,a = 55/19 b = 334/133,Hnus,B,Verner,,
M200,a=-5 b=2,,A,Verner,,
M655,198,pěkná,D,Večerka,,
M1069,69000,,B,Večerka,,
M1064,2358,,B,Večerka,,
M1065,6522,,B,VM,,
M1062,3572,,B,VM,,
F88,825,,C,Večerka,,
M1234,68,naprosto skvělá úloha,C,Večerka,,
M1238,41,,B,Večerka,,
M1423,"99,36",nová Matějem vytvořená otázka,A,Večerka,,
M496,2*2*9*5,,A,Verner,,
M498,5*5*7,,A,Verner,,
M500,5*11*7,,A,Verner,,
M600,-48,,A,Verner,,
M619,24,,A,Verner,,
M678,a=3 b=12,,A,Verner,,
M1115,"3,66",,B,Večerka,,
M1369,9,,B,Večerka,,
M1137,7,,B,VM,,
M1128,101,"triviální, smazat ",,VM,,
M1135,54,,B,VM,,
M1138,"3,36",Fyzika ,B,Večerka + M,,
M1107,32,,A,Večerka,,
M1109,27,,A,Večerka,,
M1111,10,,B,Večerka,,
M1110,54,,A,Večerka,,
M1096,65,,B,Večerka,,
M1405,7,,B,Večerka,,
M1140,"38,58",Fyzika,B,Večerka,,
F1188,"36,79m/s",zaokrouhlit na dvě desetinná,B,Verner,,
F1190,"43,4",zaokrouhlit na dvě desetinná,A,Verner,,
M1374,10,,B,Verner,,
F242,7m,zrychlení+raději specifikovat Jak vysoko vyletí z mé ruky,C,Verner,,
M602,226cm**2,,B,Verner,,
M1141,3.6h,Výsledek uveďte v h,A,Verner,,
F1306,80/21s,,A,Verner,,
F1309,80/39s,,A,Verner,,
F1305,20/9,,A,Verner,,
F1307,12,,B,Verner,,
M71,2200,"Úloha slovníkem nehodná vznešené soutěže matematické, přeformulovat",B,Verner,,
F1287,"70,2",,A,Verner,,
F1288,"88,18",,A,Verner,,
F1302,720s,,A,Verner,,
F1304,18000s,,A,Verner,,
F1248,Solární panely v noci nepomohou-chce svítit neustále!,Chyták,B,Verner,,
F1250,Solární panely v noci nepomohou-chce svítit neustále!,Chyták,B,Verner,,
M1399,90km/h,Změnit na fyziku!,C,Verner,,
M1162,21Kč,,A,Verner,,
M1161,9kč,,A,Verner,,
M1163,12kč,,A,Verner,,
F1290,1691,,B,Verner,,
F1292,"1406,2",,B,Verner,,
F881,204,,A,Verner,,
M1193,20s,,A,Verner,,
F1171,5625km/h,,A,Verner,,
F1237,"6,4",Namísto Newton napsat kg,B,Verner,,
F1015,"93,36m",Zrychlení přepsat na zpomalení+Výsledek na dvě desetinná,C,Verner,,
M216,FORTY je 29786,,D,Večerka,,
F1179,37500,Výsledek v J,A,Verner,,
F1355,20,,B,Verner,,
F1357,10,,B,Verner,,
M1383,"180, 120",,A,Verner,,
M1102,24,,A,Verner,,
M637,"5,66",,A,Verner,V plánu,
M459,4,,A,Verner,V plánu,
M671,4,,B,Verner,V plánu,
F335,4x,,A,Verner,V plánu,
F801,"6,66",Výsledek v h,A,Verner,V plánu,
F9,8,,B,Vecka,,
F2,"15,6",,A,Vecka,,
F3,"23,5",,C,Vecka,,
F6,1600,,A,Vecka,,
F7,133,,A,Vecka,,
